@relation stock
@attribute open real
@attribute high real
@attribute low real
@attribute close real
@data
1.3609,1.3609,1.3609,1.3609
28.68,28.68,28.68,28.68
1.97,1.97,1.97,1.97
11.88,11.88,11.88,11.88
49.41,49.41,49.41,49.41
293.65,293.65,293.65,293.65
27.57,27.57,27.57,27.57
73.5,73.5,73.5,73.5
73.28,73.28,73.28,73.28
42.54,42.54,42.54,42.54
9.05,9.05,9.05,9.05
3.27,3.27,3.27,3.27
5.7107,5.7107,5.7107,5.7107
170.59,170.59,170.59,170.59
37.6,37.6,37.6,37.6
2.78,2.78,2.78,2.78
42.78,42.78,42.78,42.78
9.99,9.99,9.99,9.99
10.1789,10.1789,10.1789,10.1789
0.749,0.749,0.749,0.749
18.35,18.35,18.35,18.35
4.01,4.01,4.01,4.01
42.89,42.89,42.89,42.89
25.79,25.79,25.79,25.79
25.48,25.48,25.48,25.48
33.22,33.22,33.22,33.22
6.03,6.03,6.03,6.03
0.5299,0.5299,0.5299,0.5299
67.81,67.81,67.81,67.81
8.52,8.52,8.52,8.52
37.885,37.885,37.885,37.885
24.095,24.095,24.095,24.095
18.45,18.45,18.45,18.45
37.82,37.82,37.82,37.82
2.04,2.04,2.04,2.04
1.89,1.89,1.89,1.89
2.11,2.11,2.11,2.11
2.45,2.45,2.45,2.45
25.07,25.07,25.07,25.07
2.66,2.66,2.66,2.66
10.12,10.12,10.12,10.12
10.6,10.6,10.6,10.6
20200101,1,1,1,1
79.25,79.25,79.25,79.25
49.12,49.12,49.12,49.12
1.2,1.2,1.2,1.2
329.81,329.81,329.81,329.81
10.5,10.5,10.5,10.5
118.84,118.84,118.84,118.84
2.41,2.41,2.41,2.41
0.3899,0.3899,0.3899,0.3899
20200101,4,4,4,4
0.7004,0.7004,0.7004,0.7004
3.79,3.79,3.79,3.79
170.5,170.5,170.5,170.5
29.92,29.92,29.92,29.92
34.36,34.36,34.36,34.36
22.38,22.38,22.38,22.38
44.17,44.17,44.17,44.17
1.18,1.18,1.18,1.18
21.72,21.72,21.72,21.72
183.46,183.46,183.46,183.46
9.89,9.89,9.89,9.89
97.22,97.22,97.22,97.22
11.52,11.52,11.52,11.52
0.8577,0.8577,0.8577,0.8577
22.37,22.37,22.37,22.37
20200101,2,2,2,2
71.2,71.2,71.2,71.2
0.963,0.963,0.963,0.963
24.17,24.17,24.17,24.17
2.6,2.6,2.6,2.6
2.46,2.46,2.46,2.46
4.69,4.69,4.69,4.69
0.91,0.91,0.91,0.91
0.4316,0.4316,0.4316,0.4316
13.26,13.26,13.26,13.26
25.25,25.25,25.25,25.25
2.74,2.74,2.74,2.74
27.12,27.12,27.12,27.12
0.06,0.06,0.06,0.06
4.07,4.07,4.07,4.07
2.58,2.58,2.58,2.58
0.0085,0.0085,0.0085,0.0085
47.75,47.75,47.75,47.75
7.64,7.64,7.64,7.64
16.9348,16.9348,16.9348,16.9348
17.68,17.68,17.68,17.68
25.78,25.78,25.78,25.78
25.95,25.95,25.95,25.95
25.65,25.65,25.65,25.65
41.62,41.62,41.62,41.62
2.5,2.5,2.5,2.5
4.52,4.52,4.52,4.52
25.41,25.41,25.41,25.41
48.07,48.07,48.07,48.07
10.98,10.98,10.98,10.98
1.216,1.216,1.216,1.216
20200101,66,66,66,66
6.42,6.42,6.42,6.42
0.67,0.67,0.67,0.67
36.21,36.21,36.21,36.21
33.47,33.47,33.47,33.47
17.46,17.46,17.46,17.46
17.9,17.9,17.9,17.9
10.69,10.69,10.69,10.69
20200101,29,29,29,29
20.15,20.15,20.15,20.15
2.5195,2.5195,2.5195,2.5195
0.051,0.051,0.051,0.051
86.38,86.38,86.38,86.38
6.32,6.32,6.32,6.32
16.94,16.94,16.94,16.94
3.2,3.2,3.2,3.2
22.195,22.195,22.195,22.195
1.5,1.5,1.5,1.5
20200101,8,8,8,8
1.75,1.75,1.75,1.75
10.35,10.35,10.35,10.35
0.24,0.24,0.24,0.24
